filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized
e01_1.bmp,e0311b163147d2dc3022848ad99f01cd13d59cb1,adb464b331716b5c2634d2c0046fcb1c94487f96,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e01_2.bmp_f0b63fb0ea7e68f56e4e83a511bf37e1,2a35d3dd3e72c3cc9f9ebf7c2c6ae77dc2605683,8a2b8669e6d2231fefb68b09dd94073d678c11f0,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e01_3.bmp_541acc1ad8a115247861fcf34368023d,98c63f63ac916b94073e481368438459eb972665,4466ee6d493f5abe484087b3358230d344f7f81c,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e01_4.bmp_54f96d8a29ca80b1a3feabfd6ad0ce4b,caa27fd131c67960efbae16d9fdc30b7f951f6a8,216f198b818fd8c4afac29d0a196bff23ff88a27,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e02_1.bmp,4bfcfe998231f52f7e9ecf7b2c48640eee648e9c,a796f134d71c1572368ed1962071d8884efc8cf7,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e02_2.bmp_75c18656e1070488b65f4ef3c5459c6a,189185f56325a8844fad725f83aeeb86f556efdd,d22872b13517f1a0d603956829b23b830f4f61f6,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e02_3.bmp_9f9413fdf4806383d89d42846a722a3f,866fdd8fdd5c2d544245ec949e4aea90c66338cc,70cf88962dffe0bada375e33623edbad6f28a626,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e02_4.bmp_e98df2b1939851f47c8a6c28ea1d4cda,9756c3ef3f0c2473cb005f6c3d52776e4cf0ec13,02ca3ff1b6b503979cb1a58cf3629a7f0759ba57,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e03_1.bmp,aa1f61aaca62848da038905783a7aa6f0e9e4eac,dc0942f715e2487a1124699c22b652d17389981e,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e03_2.bmp_9dacb2c715572785a6dae28acd90e8b1,63486388722f94e2ba1fc2cb6f1bce782231cf73,5fa656e2d52371863711918825996a971faeb303,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e04_1.bmp,976adf7982c63665690ca87a6a25cd8a33928470,86a1adb95a23b8e6f43295c85d90d7bbfec58cde,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
e04_2.bmp_04dda450a93965ec055c9b3e101e099b,c174424bd9dc9a34b4de012e8560bf96cd2cbb01,5813d59407f5b1ce66c4056a6fe87f3e9ff12f08,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
e04_3.bmp_6e40581365c7129ba9808c175223db1c,24508e433e2cf881d339cc51bea41d62269d2975,2d0c9c81f7faac8da7269cd39449b0ebc6b941da,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
e04_4.bmp_8c6cd8cff37073ad12c3337cfc6743c9,1960c5da9c1b74a201315dbfabfd80fbbef1310f,541fba197615bc804f05af2eac84cc5f908b6951,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
e05_1.bmp,d8e68b43d46f166590f6cba056108feb5d8e3cae,889ff9833f76dd3c13170491799bf3b1c5bca2c9,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e05_2.bmp_82b3b58938902ff77960ab86bece7fde,0c9fdfd84077304dd77e598bb68c03fdf7261d16,4215b714cc622c3a59e0584ced8dafd9d2bde0e2,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e05_3.bmp_af67f0040e86439009598c872cff2e9d,576bd3006d38c8164e739ff10cb629323da2abc0,f60c7fb0be30c9c0abbeea0f4355a699dd413986,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
e05_4.bmp_36713177f73649f66e6d12e18911a8b2,47caebc353a23dc214279b13e437cfbc9fdaca91,cc80d5256dac7e37629513ba35c835f7a8eaf09c,true,ps2 textures\OPAQUE\bp_remade,true,false,0,none,5,false,false
h_bottle_ovl_alp.bmp,54a14b6f819d2d546ffdb48fc60541f0384225d2,74148cdc5fd37cbf218eb4ef1a382b1b241fa80d,true,ps2 textures\HAS ALPHA\bp_remade,false,false,0,none,5,false,false
k08_1.bmp,d1b9554991a6e85368efcc4271c94be11958e271,f6675b0cbeddf794f1d1c79d4f9b76e02f70bb75,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
k08_2.bmp,f6874fc161a1bb2e17c31fbbef32a117210aa109,7cdb73d2591a92ac5e3238d51a082637e8faea08,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
k08_3.bmp,75ca37a58ecfec278348f3d209cc6c5bcc08fd6c,987c1e133c0a4fed792659cd389630afe221d09d,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
k08_4.bmp,de0ae422064224ed8d2df0faf6732cc20296f081,4ead443788c00bb04a23c0759079af5f183d67ab,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
s112a_cell_floor_01_alp_ovl.bmp,5c09fbb4666ec302a73e827539ebeac11ec3aaee,cc9f5f390a4b6bfaa477ec5a0d76c816fd6de4bf,true,ps2 textures\HAS ALPHA\bp_remade,false,false,0,none,5,false,false
s122a_fence_alp_ovl_01.bmp,52a528a4e9771502d0b3a2f14951dbbbeb6e0e99,31357a805fc51373717316d317ea08ad4ecd17f1,true,ps2 textures\HAS ALPHA\bp_remade,false,false,0,none,5,false,false
s171a_mo_fence_alp_ovl_rep_01.bmp,8bc70f0933355a78a60d68241da9c22f57aa38d9,7751f5d0c53e4b2fbc9f81ecc071c27df4e833a3,true,ps2 textures\HAS ALPHA\bp_remade,false,false,0,none,5,false,false
s171a_mogi_fence_alp_ovl_rep_01.bmp,33ea2b0d64b9c8f051237db5efc44bf38d0d9e7a,76c8803ee410e4a96badd640eaa9c8b1c8eb6197,true,ps2 textures\HAS ALPHA\bp_remade,false,false,0,none,5,false,false
sga_cigar01_brake.bmp,cf2138bc00844ee5563ff03b78cea2c6f349e373,2067e1cae2285ddef297d234eb22808717618994,true,ps2 textures\OPAQUE\same sha1,true,false,0,none,5,false,false
sga_cigar_origin.bmp,3b2e8eab4c27d80d733636f0cddd524f5a07b21c,a58554b16107d7ad45826891445039009d684e9b,true,ps2 textures\OPAQUE\same sha1,true,false,0,none,5,false,false
sna_face_cell_hi.bmp,50b81d4e7d9c9cc2317a292843c949e3b5937f67,7432965409a9dcffacb13b4440f458ca7e402b9e,true,ps2 textures\OPAQUE\same sha1,true,false,0,none,5,false,false
sna_face_dam_eye_ovl_alp.bmp,45c243774ee6203735eebd3649cc9d67a100ef1f,d7ddc2af14229d240a7c106da6eb4a7e4d82f30c,true,ps2 textures\HAS ALPHA,false,false,0,none,5,false,false
sna_face_ed_def.bmp,588cc45e1e856ec7e1648c6ef25aec28faa96ca2,cfc963f63bcdbcdd3bfc782ff6aa5e21ae5b78aa,true,ps2 textures\OPAQUE,true,false,0,none,5,false,false
sna_face_vr_sta_ovl_alp.bmp,79c085e141fd25753e99ce80364df0dc434c286e,5c7d1405a40a198803a7e980fcd4eeaf824e98f0,true,ps2 textures\HAS ALPHA,false,false,0,none,5,false,false
sna_flirt_tiger.bmp,0ffc21c9c48736e0cc080f1d693c6225fa4ef72d,fa0a00f9de752ef3b99b5bd236595ce93cedc4d1,true,ps2 textures\OPAQUE\same sha1,true,false,0,none,5,false,false
sna_foot_naked_flirt.bmp,5006474baef90898cfd2ebc0b777d0c24e06df5b,6c31502c754db4838ea3bc8b88672f21de96090e,true,ps2 textures\OPAQUE\same sha1,true,false,0,none,5,false,false
